asset_id,title,description,keywords,library,category,subcategory,status,upload_by,upload_date,last_updated_by,last_update_date,admin_notes,bit_rate,dload_file_type,dload_resolution,dload_size
2524&libid=1&pageindex=97&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman sitting at airport with smartphone,"Young woman, holding smartphone at airport",Smartphone,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2525&libid=1&pageindex=45&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man seating at airport with smartphone.tif,Young executive smiiling while holding his smartphone at airport,Smartphone,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2526&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young woman looking at smartphone,Young woman sitting on train looking at smartphone,Smartphone,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2527&libid=1&pageindex=62&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of couple looking at tablet on a train,"Young couple looking at tablet on a train, smiling","Couple, Tablet",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2528&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young man seating on a bench looking a,Young man seating at a bench,"Tablet, Outside , Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2529&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of woman seating looking at tablet inside,Young woman seating at a library looking at tablet,"Tablet, Woman",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2530&libid=1&pageindex=97&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman looking at a tablet inside a library,Young woman looking at tablet standing against bookshelves,Tablet,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2531&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of student reading at library,"Young man, looking at laptop inside a library",Laptop,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2532&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young man sitting,"Young man, sitting indoors","Tablet, House, Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2533&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young man siting inside store,"Young man, waiting inside of a store","shopping, Tablet",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2536&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young woman shopping for clothes,young woman looking at shirt at store,"shopping, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2537&libid=1&pageindex=62&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of man scanning clothing tag with phone,"Young man shopping for clothes, scanning tag with cellphone","shopping, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2540&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young man outdoors sitting,Young man sitting outside a café,"Laptop, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2541&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of man sitting lookingaway with a laptop,"Portrait of man sitting, looking away with a laptop",Laptop,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2542&libid=1&pageindex=101&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Young couple chatting at a restaurant,Young couple talking at restaurant with devices,"Couple, Smartphone, Tablet, Laptop",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2543&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of young man outdoors,Young man stading outdoors,Outside,Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2544&libid=1&pageindex=62&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of man sitting looking at a tablet,Man sitting looking at small tablet,"Tablet, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2545&libid=1&pageindex=62&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of couple looking at tablet,Man and woman looking at tablet - standing,"Couple, Smartphone, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2546&libid=1&pageindex=63&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of woman in front of museum,Woman standing in front of a museum with cellphone in her hand,"Building, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,28.2mb
2547&libid=1&pageindex=34&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Couple looking at a cellphone at bar's restaurant,Man and woman looking at cellphone at a restaurant,"Couple, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2548&libid=1&pageindex=62&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Portrait of couple at a restaurant with device,Man and woman looking at a cell phone while sitting at a restaurant,"Couple, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/6/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2549&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer at control room,Portrait of man in control room,"Engineer, Employee",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Tami,5/12/2015,,,TIF,300 dpi,63.3mb
2550&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employees portrait,Portrait of group of developers networking,"Developers , Group, Friends",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2551&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee engineer at lab,Portrait of man engineer at a lab,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2552&libid=1&pageindex=46&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man standing in front of Patent wall,"Portrait of man at N-building's lobby, patents wall on the wall behind","Building, Building N, Patent",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Tami,5/12/2015,,,TIF,300 dpi,63.3mb
2553&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of woman siting,"Employee, Woman",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,141.3mb
2554&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of man siting,"Employee, Man",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2555&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of young male employee,"Employee, Man",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2556&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of thoughtful female employee,"Employee, Woman",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2557&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of thoughtful female employee,"Employee, Woman",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2558&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of young male employee,"Employee, Man, Asian",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,137.5mb
2559&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of thoughtful female employee,"Employee, Woman",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2560&libid=1&pageindex=45&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man on a bridge outside of building with cellphone,Young Man on a bridge outside of building with cellphone,"Bridge, Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Tami,5/12/2015,,,TIF,300 dpi,90.6mb
2561&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman engineer in a lab - panorama,Woman engineer in a lab - panorama,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,139.4mb
2562&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman engineer in a lab - color corrected,Woman enginer at a lab- color corrected,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,JPEG,72 dpi,16.3mb
2563&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman engineer in a lab,Woman enginer at a lab,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2564&libid=1&pageindex=34&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Couple of engineers working at a lab,Engineers working at a lab,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Tami,5/12/2015,,,TIF,300 dpi,63.3mb
2565&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee standing outside of Qualcomm building,Woman employee standing outside of Qualcomm building,"Building, Building N",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2566&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer at test lab,Male engineers at test lab,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2567&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer at sound room testing,Engineer at sound room testing,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Tami,5/12/2015,,,TIF,300 dpi,63.3mb
2568&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer at a lab,Young engineer working at a lab with robotic arm,"Employee, Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2569&libid=1&pageindex=45&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man in front of library,Young man standing in front of library looking at cellphone,"Bridge, Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,63.3mb
2571&libid=1&pageindex=34&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Couple in front of library,Young man and woman siting in front of library,"Couple, Tablet",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2572&libid=1&pageindex=92&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Student in front of library,Close-up of a young man holding cellphone in front of library,"Smartphone, Building, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,90.6mb
2573&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman at café with laptop,Woman sitting at a café with a laptop,"Tablet, Outside , Building",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Tami,5/12/2015,,,TIF,300 dpi,108.1mb
2574&libid=1&pageindex=45&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man on a run with 2Net device,Man going for a run wearing a 2Net device,"Running, Health, Sports",Qualcomm,Photography,Brand Photography,,,Super Admin,8/7/2013,Katrina,12/4/2015,,,TIF,300 dpi,134.5mb
2602&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman in café,Woman using device at café,"Woman, Outside, Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/26/2013,Katrina,12/4/2015,,,TIF,300 dpi,118.1mb
2603&libid=1&pageindex=97&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman in store,Woman using device while shopping,"Smartphone, shopping",Qualcomm,Photography,Brand Photography,,,Super Admin,8/26/2013,Tami,5/12/2015,,,TIF,300 dpi,125.6mb
2604&libid=1&pageindex=96&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman in café,"Woman siting in front of café, with cellphone in her hand","Woman, Outside , Smartphone",Qualcomm,Photography,Brand Photography,,,Super Admin,8/26/2013,Katrina,12/4/2015,,,TIF,300 dpi,133.8mb
2606&libid=1&pageindex=29&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Business man in the city,Business man holding briefcase next to buildings,"man, business man, standing, street, buildings, city, suitcase, tie, cellphone, heroic, smile, cars, downtown",Qualcomm,Photography,Brand Photography,,,Super Admin,8/26/2013,Tami,5/12/2015,,,TIF,300 dpi,90.6mb
2607&libid=1&pageindex=92&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Student in front of library,Young man holding cellphone in front of library,"Building, Outside",Qualcomm,Photography,Brand Photography,,,Super Admin,8/26/2013,Tami,5/12/2015,,,JPEG,300 dpi,25.3mb
2610&libid=1&pageindex=36&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Employee portrait,Portrait of mature man- close up,"Employee, Man",Qualcomm,Photography,Employees,,,Super Admin,8/26/2013,Katrina,12/4/2015,,,JPEG,300 dpi,20.3mb
2612&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer at control roomm - Panorama,Portrait of man in control room,"Employee, Engineer",Qualcomm,Photography,Employees,,,Super Admin,8/26/2013,Tami,5/12/2015,,,JPEG,300 dpi,14.6mb
2613&libid=1&pageindex=104&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young woman holding computer chip,young woman standing inside lab holding a computer chip,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/26/2013,Elysia,11/10/2014,,,JPEG,300 dpi,11.4mb
2614&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young female engineer controlling machine,young female engineer standing up and controlling machine with monitor attached,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/26/2013,Brittany,3/26/2015,,,JPEG,300 dpi,10.7mb
2615&libid=1&pageindex=102&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,young male typing in lab,young male sitting down typing on his laptop,"Engineer, Lab",Qualcomm,Photography,Employees,,,Super Admin,8/26/2013,Elysia,11/10/2014,,,JPEG,300 dpi,10.3mb
2622&libid=1&pageindex=49&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Mitosis Compliance Guide - Marketing,Marketing guidelines to help communicators clearly designate which legal entity is being represented in marketing materials and activities.,"Mitosis, Mitosis compliance, Legal",Qualcomm,Brand Elements,Qualcomm Logo,,,Christopher Dillman,10/15/2013,Elysia,6/15/2015,Private - internal use only,,PDF,150 dpi,1.3mb
2628&libid=1&pageindex=83&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Qualcomm gradient colors,Gradient color specifications,"Color, Illustrator",Qualcomm,Brand Elements,Color pallete | old,,,Alex BenBassat,11/7/2013,Katrina,3/12/2014,,,AI,N/A,1.1mb
2636&libid=1&pageindex=2&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,abcdefghijklmnopqrstuvwxyz,Eco concept,,Qualcomm,Photography,Textures,,,Super Admin,11/13/2013,Brittany,10/6/2014,,,JPEG,72 dpi,1.5mb
2699&libid=1&pageindex=40&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Film diagrams on top half of glass,,"Example, Glass, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2700&libid=1&pageindex=40&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Film diagrams on glass wall,Diagrams for glass film on a glass wall. Blue section is drywall. ,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2701&libid=1&pageindex=43&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Large film diagrams on bottom section of glass wal,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2702&libid=1&pageindex=30&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Checkered diagrams for glass film,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1.1mb
2703&libid=1&pageindex=43&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Large film diagrams in middle section of glass,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2704&libid=1&pageindex=43&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Large film diagrams on full glass wall,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2705&libid=1&pageindex=43&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Large film diagrams in middle section of glass,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Tami,1/11/2016,,,PDF,150 dpi,1mb
2706&libid=1&pageindex=40&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Film diagrams on middle strip of glass wall,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2707&libid=1&pageindex=40&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Film diagrams for bottom section of glass,,"Example, Glass, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2708&libid=1&pageindex=40&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Film diagrams for middle section of glass,,"Glass, Example, Diagram",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/15/2013,Elysia,11/12/2014,,,PDF,150 dpi,1mb
2715&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer in sound lab - Illustrator,Photography poster of engineer in sound lab,"Photography, Poster, Illustrator, Engineer, Lab",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,5/13/2015,,,AI,N/A,89.7mb
2717&libid=1&pageindex=48&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man with Car Poster_Illustrator,Photography poster of man standing in front of a car. Illustrator format.,"Photography, Poster, Illustrator",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,AI,N/A,131.6mb
2718&libid=1&pageindex=100&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman with tablet at cafe - Illustrator,Photography poster of woman sitting at a cafe with a laptop. Illustrator file.,"Photography, Poster, Illustrator, Tablet, Device",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,AI,N/A,138.2mb
2719&libid=1&pageindex=48&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man with tablet in front of library_Illustrator,Photography poster of man in front of a library with his device. Illustrator file,"Photography, Poster, Illustrator, Tablet",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,AI,N/A,124.3mb
2720&libid=1&pageindex=42&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Illustrator Aqua Gradient,Aqua gradient poster for office artwork,"Aqua, Illustrator, Gradient, Poster",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Luisa,1/20/2016,,,AI,N/A,1.2mb
2721&libid=1&pageindex=42&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Illustrator Purple Gradient,Purple gradient poster for office artwork in Illustrator format,"Purple, Illustrator, Gradient, Poster",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Luisa,1/20/2016,,,AI,N/A,1.2mb
2722&libid=1&pageindex=42&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Illustrator Blue Gradient,Blue gradient poster for office artwork in Illustrator format,"Blue, Illustrator, Poster, Gradient",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Luisa,1/20/2016,,,AI,N/A,1.2mb
2723&libid=1&pageindex=42&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Illustrator Red Gradient,Red gradient poster for office artwork in Illustrator format,"Red, Gradient, Illustrator, Poster",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Luisa,1/20/2016,,,AI,N/A,1.2mb
2724&libid=1&pageindex=42&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Illustrator Violet Gradient,Orange gradient poster for office artwork in Illustrator format,"Violet, Gradient, Illustrator, Poster",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Luisa,1/20/2016,,,AI,N/A,1.2mb
2726&libid=1&pageindex=37&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Engineer in sound lab,Photography poster of engineer in sound lab. PDF format.,"Photography, Poster, Lab, Engineer",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,5/13/2015,,,PDF,150 dpi,7.3mb
2727&libid=1&pageindex=48&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man with car,Photography poster of man standing in front of a car. PDF format.,"Photography, Poster",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,PDF,150 dpi,9.4mb
2728&libid=1&pageindex=100&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Woman with tablet at cafe,Photography poster of woman sitting at a cafe with a laptop. PDF format.,"Photography, Poster, Tablet, Device",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,PDF,150 dpi,12.6mb
2729&libid=1&pageindex=48&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,Man with Device Poster_PDF,Photography poster of man in front of a library with his device. PDF format.,"Photography, Poster",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,PDF,150 dpi,9.6mb
2730&libid=1&pageindex=60&keyword=&catid=0&subcatid=0&fid=6442450943&statusid=-1&bizunitid=0&sortby=1&item=15,PDF Aqua Gradient,Aqua gradient poster for office artwork in PDF format,"Aqua, Poster, Gradient",Qualcomm,Templates,Environmental,,,Alex BenBassat,11/18/2013,Tami,12/18/2015,,,PDF,150 dpi,50kb
